AMPLIFICADOR DE TELA DE CELULAR HD DE 12 POLEGADAS - amplificador de tela para celular HD, proteção de olhos anti-radiação, ampliador de vídeo para celular com suporte dobrável, para todos os smartphones, Preto.;21;https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo2NDY4NTQwMDU2ODczOTc1OjE2OTA3MzA1NzA6c3BfYXRmOjMwMDAyMjcxMDQyMTUwMjo6MDo6&url=%2Fdp%2FB0CD613SJF%2Fref%3Dsr_1_1_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3D1YIHDLNNPWJHI%26keywords%3DCelular%26qid%3D1690730570%26sprefix%3Dcelular%252Caps%252C190%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Celular para idoso ObaSmart 3 Dourado 32GB fácil de usar Obabox - OB018;476;https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo2NDY4NTQwMDU2ODczOTc1OjE2OTA3MzA1NzA6c3BfYXRmOjIwMDA5NzM5OTQ2MjE5ODo6MDo6&url=%2FCelular-idoso-ObaSmart-Dourado-Obabox%2Fdp%2FB0BK1QW66H%2Fref%3Dsr_1_2_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3D1YIHDLNNPWJHI%26keywords%3DCelular%26qid%3D1690730570%26sprefix%3Dcelular%252Caps%252C190%26sr%3D8-2-spons%26ufe%3Dapp_do%253Aamzn1.fos.4bddec23-2dcf-4403-8597-e1a02442043d%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Celular 8GB+128GB Android 12 Dual Sim, FreeYond M5 FHD+6.52" Mostrador, Bateria 5000 mAh Celular Smartphone tectoy, Main Camera 50MP+8MP Ultra Grande Angular+2MP com Macro+8MP Selfie Telefone;899;https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo2NDY4NTQwMDU2ODczOTc1OjE2OTA3MzA1NzA6c3BfYXRmOjIwMDExNjg0MTkwMzI5ODo6MDo6&url=%2FFreeYond-M5-Mostrador-Smartphone-Telefone%2Fdp%2FB0BMPGFPLR%2Fref%3Dsr_1_3_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3D1YIHDLNNPWJHI%26keywords%3DCelular%26qid%3D1690730570%26sprefix%3Dcelular%252Caps%252C190%26sr%3D8-3-spons%26ufe%3Dapp_do%253Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
FreeYond M5 Celular 8GB+128GB, Android 12 Dual Sim, FHD+6.52" Mostrador, Main Camera 50MP+8MP Ultra Grande Angular+2MP com Macro+8MP Selfie Celulares, Bateria 5000 mAh Celular Smartphone(Azul);999;https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo2NDY4NTQwMDU2ODczOTc1OjE2OTA3MzA1NzA6c3BfYXRmOjIwMDExNjg0MTkwMzM5ODo6MDo6&url=%2FFreeYond-M5-Mostrador-Celulares-Smartphone%2Fdp%2FB0BP8BLYF2%2Fref%3Dsr_1_4_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3D1YIHDLNNPWJHI%26keywords%3DCelular%26qid%3D1690730570%26sprefix%3Dcelular%252Caps%252C190%26sr%3D8-4-spons%26ufe%3Dapp_do%253Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Smartphone Xiaomi Redmi 12C 128GB - 4GB Ram (Versao Global) (Roxo);750;https://www.amazon.com.br/Smartphone-Xiaomi-Redmi-12C-128GB/dp/B0BVWSXYZ1/ref=sr_1_5?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1YIHDLNNPWJHI&keywords=Celular&qid=1690730570&sprefix=celular%2Caps%2C190&sr=8-5&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Celular Xiaomi Redmi Note 12 128GB / 6GB RAM/Dual Sim/TelaP e 13MP - Onyx Gray - Preto;1.053;https://www.amazon.com.br/Celular-Xiaomi-Redmi-128GB-TelaP/dp/B0BZ7R2MPQ/ref=sr_1_6?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1YIHDLNNPWJHI&keywords=Celular&qid=1690730570&sprefix=celular%2Caps%2C190&sr=8-6&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Smartphone Motorola Moto E22 4G 128GB 4GB RAM Preto;859;https://www.amazon.com.br/Smartphone-Motorola-Moto-128GB-Preto/dp/B0BSXQP3NW/ref=sr_1_7?__mk_pt_BR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=1YIHDLNNPWJHI&keywords=Celular&qid=1690730570&sprefix=celular%2Caps%2C190&sr=8-7&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
Celular Flip Vita Dual Chip MP3 Dourado Multilaser - P9043;183;https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo0OTE2ODg2NTE3Nzg3MTg5OjE2OTA3MzA1NzA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAwODM4MDgyMTUwMjo6MDo6&url=%2FMultilaser-Flip-Celular-Vita-Dourado%2Fdp%2FB0754J4K31%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26content-id%3Damzn1.sym.f4eb7b1b-f215-48e4-9e5e-deb1ba859bb0%253Aamzn1.sym.f4eb7b1b-f215-48e4-9e5e-deb1ba859bb0%26crid%3D1YIHDLNNPWJHI%26cv_ct_cx%3DCelular%26keywords%3DCelular%26pd_rd_i%3DB0754J4K31%26pd_rd_r%3Dbc0c0569-6fc2-479d-8065-23f06a422af5%26pd_rd_w%3D701lO%26pd_rd_wg%3DzELYs%26pf_rd_p%3Df4eb7b1b-f215-48e4-9e5e-deb1ba859bb0%26pf_rd_r%3DNSJ28NY3KH1NNNHCW37N%26qid%3D1690730570%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dcelular%252Caps%252C190%26sr%3D1-1-b09fe5d2-6fe7-48e1-a446-4c01cea2f644-spons%26ufe%3Dapp_do%253Aamzn1.fos.6121c6c4-c969-43ae-92f7-cc248fc6181d%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
FreeYond M5 Celular 8GB+128GB, Android 12 Dual Sim, FHD+6.52" Mostrador, Main Camera 50MP+8MP Ultra Grande Angular+2MP com Macro+8MP Selfie Celulares, Bateria 5000 mAh Celular Smartphone(Azul);999;https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo0OTE2ODg2NTE3Nzg3MTg5OjE2OTA3MzA1NzA6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDExNjg0MTkwMzM5ODo6MTo6&url=%2FFreeYond-M5-Mostrador-Celulares-Smartphone%2Fdp%2FB0BP8BLYF2%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26content-id%3Damzn1.sym.f4eb7b1b-f215-48e4-9e5e-deb1ba859bb0%253Aamzn1.sym.f4eb7b1b-f215-48e4-9e5e-deb1ba859bb0%26crid%3D1YIHDLNNPWJHI%26cv_ct_cx%3DCelular%26keywords%3DCelular%26pd_rd_i%3DB0BP8BLYF2%26pd_rd_r%3Dbc0c0569-6fc2-479d-8065-23f06a422af5%26pd_rd_w%3D701lO%26pd_rd_wg%3DzELYs%26pf_rd_p%3Df4eb7b1b-f215-48e4-9e5e-deb1ba859bb0%26pf_rd_r%3DNSJ28NY3KH1NNNHCW37N%26qid%3D1690730570%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dcelular%252Caps%252C190%26sr%3D1-2-b09fe5d2-6fe7-48e1-a446-4c01cea2f644-spons%26ufe%3Dapp_do%253Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
Smartphone Redmi Note 11 4GB RAM 128GB ROM Star Blue;1.104;https://www.amazon.com.br/sspa/click?ie=UTF8&spc=MTo0OTE2ODg2NTE3Nzg3MTg5OjE2OTA3MzA1NzA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAxOTE3Mzg1NDEwMjo6Mjo6&url=%2FSmartphone-Redmi-Note-11-128GB%2Fdp%2FB09QSCYS1J%2Fref%3Dsxin_16_pa_sp_search_thematic_sspa%3F__mk_pt_BR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26content-id%3Damzn1.sym.f4eb7b1b-f215-48e4-9e5e-deb1ba859bb0%253Aamzn1.sym.f4eb7b1b-f215-48e4-9e5e-deb1ba859bb0%26crid%3D1YIHDLNNPWJHI%26cv_ct_cx%3DCelular%26keywords%3DCelular%26pd_rd_i%3DB09QSCYS1J%26pd_rd_r%3Dbc0c0569-6fc2-479d-8065-23f06a422af5%26pd_rd_w%3D701lO%26pd_rd_wg%3DzELYs%26pf_rd_p%3Df4eb7b1b-f215-48e4-9e5e-deb1ba859bb0%26pf_rd_r%3DNSJ28NY3KH1NNNHCW37N%26qid%3D1690730570%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dcelular%252Caps%252C190%26sr%3D1-3-b09fe5d2-6fe7-48e1-a446-4c01cea2f644-spons%26ufe%3Dapp_do%253Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
